"Two_yr_Recidivismyes","Number_of_Priors","Age_Above_FourtyFiveyes","Age_Below_TwentyFiveyes","FemaleFemale","Misdemeanoryes","ethnicityAfrican_American","ethnicityAsian","ethnicityHispanic","ethnicityNative_American","ethnicityOther"
1,1.24832580925768,0,0,0,1,1,0,0,0,0
1,0.454511072115264,0,0,1,0,0,0,0,0,0
1,1.64154103884231,0,0,0,0,1,0,0,0,0
1,-0.238174635084819,0,0,1,0,1,0,0,0,0
0,-0.344346919845754,0,0,0,1,1,0,0,0,0
1,1.31919164431467,0,0,0,0,1,0,0,0,0
0,-0.588518646928717,1,0,0,1,0,0,0,0,0
0,-0.0383737704784533,0,0,0,1,0,0,0,0,0
0,-0.602928631612686,0,1,0,1,1,0,0,0,0
1,0.256330254134127,0,0,0,1,1,0,0,0,0
1,-0.474772568540609,0,0,0,0,1,0,0,0,0
0,-0.653324375377491,0,0,0,0,0,0,0,0,0
1,-0.286104436762836,0,0,0,1,1,0,0,0,0
0,-0.716877299936282,0,1,0,0,1,0,0,0,0
0,-0.488520297961392,0,0,1,1,1,0,0,0,0
0,-0.121734358339283,0,1,0,0,1,0,0,0,0
0,0.0597047933159762,1,0,0,0,0,0,0,0,0
0,-0.531972009860892,1,0,0,1,0,0,0,0,0
0,-0.346947728029842,0,0,0,0,1,0,0,0,0
1,-0.153738923661527,0,0,0,0,1,0,0,0,0
0,-0.75293767630976,0,1,1,1,1,0,0,0,0
0,-0.0290245250627782,1,0,0,0,1,0,0,0,0
0,-0.668364793841099,0,0,1,0,1,0,0,0,0
0,-0.135285269536194,1,0,0,1,1,0,0,0,0
0,0.0239179136213808,0,1,0,0,1,0,0,0,0
0,-0.60978865732553,0,0,0,0,1,0,0,0,0
0,-0.831602741672581,0,0,0,0,1,0,0,0,0
0,0.702721693157866,0,0,0,1,1,0,0,0,0
1,0.442397087302812,0,0,1,0,0,0,0,0,0
0,-0.524236310246841,1,0,0,1,0,0,0,0,0
0,-0.51327830378433,0,1,0,0,1,0,0,0,0
1,-0.145789186307843,0,0,0,1,0,0,0,0,0
1,1.17611752450065,0,0,0,0,1,0,0,0,0
0,-0.29070288043689,1,0,0,1,1,0,0,0,0
1,1.3597322517816,0,0,0,0,1,0,0,0,0
1,0.829076474210177,0,0,0,0,1,0,0,0,0
0,-0.630340406543705,0,0,0,1,0,0,0,0,0
1,-0.442900028673881,0,1,0,0,1,0,0,0,0
1,1.86589678372014,1,0,0,1,1,0,0,0,0
1,1.30921464325983,0,0,0,1,1,0,0,0,0
0,-0.62542381009703,0,1,1,0,1,0,0,0,0
0,-0.327545362978911,0,0,0,1,1,0,0,0,0
1,0.611092228203756,1,0,0,0,1,0,0,0,0
1,-0.640009620844765,0,1,0,0,0,0,0,0,0
0,-0.795597558149066,1,0,0,1,0,0,0,0,0
1,0.0184912076487472,1,0,0,1,0,0,0,0,0
0,-0.139995837868312,0,1,0,0,0,0,0,0,0
1,-0.20252863537474,0,0,0,0,0,0,0,0,0
1,0.206740242652226,0,0,1,0,1,0,0,0,0
0,-0.440458089036336,0,0,1,1,1,0,0,0,0
1,0.222444068705137,0,0,0,1,1,0,0,0,0
1,-0.639442503065155,0,1,0,0,1,0,0,0,0
1,-0.419092114934182,0,1,1,1,1,0,0,0,0
0,-0.452721001305329,0,0,0,1,1,0,0,0,0
0,-0.515184279426221,0,0,0,1,1,0,0,0,0
1,0.618546544162923,0,1,0,0,1,0,0,0,0
1,1.16932480082968,0,0,0,0,1,0,0,0,0
0,-0.719166052433959,0,1,0,1,1,0,0,0,0
0,-0.449651049441741,0,1,0,1,1,0,0,0,0
1,1.88289716276861,0,0,0,0,1,0,0,0,0
0,1.10531461823013,1,0,0,0,1,0,0,0,0
0,-0.564844870344476,1,0,1,0,1,0,0,0,0
0,-0.874591871523464,1,0,0,1,0,0,0,0,0
1,0.21982308428178,0,0,0,0,1,0,0,0,0
0,-0.473070584162183,0,1,0,0,1,0,0,0,0
0,-0.779407683210671,0,0,0,0,1,0,0,0,0
0,-0.81954805550067,0,0,0,0,0,0,0,0,0
0,0.700820822636576,0,0,0,0,0,0,0,0,0
0,-0.734462098284751,0,1,1,1,1,0,0,0,0
0,-0.836523981388124,0,1,0,0,1,0,0,0,0
0,-0.611785662310018,0,0,0,0,1,0,0,0,0
0,0.0683918287080662,0,0,1,1,0,0,0,0,0
1,-0.14363579424538,0,0,0,0,1,0,0,0,0
0,-0.59784897730561,0,0,1,1,0,0,0,0,0
1,1.3281956529832,0,0,0,1,0,0,0,0,0
1,-0.556135447113546,0,0,0,1,0,0,0,0,0
1,-0.550998535081494,0,1,1,0,0,0,0,0,0
1,1.15044266068307,0,1,0,0,1,0,0,0,0
1,0.266798375300833,0,0,0,1,0,0,0,0,0
0,-0.77943538951161,0,0,0,1,1,0,0,0,0
0,-0.598932057482897,1,0,0,1,0,0,0,0,0
0,-0.585517243752572,0,1,0,0,1,0,0,0,0
0,-0.267484574280341,0,0,1,0,1,0,0,0,0
1,0.0566755580670495,1,0,0,0,0,0,0,0,0
0,-0.656476166167224,1,0,1,1,0,0,0,0,0
1,-0.57756898593737,0,0,0,0,1,0,0,0,0
1,-0.332219227502371,0,1,0,0,0,0,0,0,0
0,-0.0379495099045094,1,0,0,0,1,0,0,0,0
0,0.0460286015500589,0,0,0,0,0,0,0,0,0
1,-0.586165229026823,0,1,1,1,1,0,0,0,0
0,-0.469423956259529,0,0,1,0,1,0,0,0,0
1,1.3354449754251,0,0,0,0,1,0,0,0,0
1,-0.442876104806932,0,0,0,1,0,0,0,0,0
1,0.319231611907164,0,1,0,0,1,0,0,0,0
1,1.79845775468294,0,0,1,0,1,0,0,0,0
0,1.47979778674658,0,0,0,0,1,0,0,0,0
0,0.900849314018314,0,0,0,0,1,0,0,0,0
0,-0.761723749430664,0,1,0,0,1,0,0,0,0
1,1.17815664131065,0,0,0,0,1,0,0,0,0
1,-0.251446234719829,0,1,0,0,1,0,0,0,0
0,-0.68091076346871,0,1,0,0,1,0,0,0,0
1,-0.565037119388626,0,1,0,1,0,0,0,0,0
1,0.0555832942923285,1,0,0,0,0,0,0,0,0
0,-0.701647527107422,0,0,0,0,0,0,0,0,0
1,0.516062765526183,0,0,0,0,1,0,0,0,0
0,0.827105345472582,0,0,0,0,1,0,0,0,0
1,2.0217221629343,0,0,0,0,1,0,0,0,0
0,-0.336102221713785,1,0,0,0,0,0,0,0,0
1,2.58717708803784,0,0,0,0,1,0,0,0,0
0,1.36523878946305,0,0,0,1,0,0,0,0,0
0,0.170297998691106,0,0,0,0,1,0,0,0,0
0,0.653560794044033,1,0,0,0,1,0,0,0,0
0,-0.199041405622377,0,0,0,0,1,0,0,0,0
1,-0.0210373648236651,0,1,0,0,1,0,0,0,0
1,-0.302506864793043,0,0,1,1,1,0,0,0,0
0,1.53529576948145,0,0,0,0,1,0,0,0,0
1,-0.0343234012742749,0,0,0,0,0,0,0,0,0
0,-0.638661655257172,0,0,0,0,0,0,0,0,0
0,0.794929738683496,0,0,0,0,1,0,0,0,0
0,-0.018285146546555,1,0,1,1,1,0,0,0,0
0,-0.415676470152526,1,0,0,1,0,0,0,0,0
0,-0.570667992277564,0,0,0,1,1,0,0,0,0
1,-0.443528957394346,0,1,0,0,0,0,0,0,0
1,0.574765136916951,0,0,0,0,1,0,0,0,0
