Two_yr_Recidivism,Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,ethnicity
yes,-0.0125304970988913,no,yes,Female,yes,Caucasian
yes,-0.400115101329312,no,yes,Male,yes,African_American
yes,0.701856733526477,yes,no,Male,yes,African_American
no,-0.930922321961949,no,no,Male,no,Caucasian
yes,-0.545323868452363,no,yes,Male,yes,African_American
yes,-0.5937683731941,no,no,Male,yes,Caucasian
yes,0.196977291542451,no,no,Male,yes,Caucasian
yes,-0.362762246488082,no,yes,Male,no,African_American
no,-0.168091069786416,no,no,Male,no,Caucasian
yes,-0.434163240580175,no,no,Male,no,African_American
yes,-0.121048762919098,no,no,Male,yes,Caucasian
yes,1.79018301125218,no,no,Male,yes,African_American
no,-0.468224829303143,yes,no,Male,no,African_American
no,-0.627172384203335,yes,no,Male,yes,Caucasian
no,0.164697036614054,no,no,Male,no,African_American
yes,0.207163381236592,yes,no,Male,yes,African_American
no,-0.683326710700533,no,no,Male,no,Caucasian
no,-0.274335915335546,yes,no,Male,yes,African_American
yes,-0.275442214643316,yes,no,Male,no,Caucasian
yes,0.0505249545830046,no,no,Male,yes,African_American
no,-0.503621463751246,yes,no,Male,no,Caucasian
no,0.44101297011936,no,no,Male,yes,African_American
no,-0.228721327096901,no,no,Male,yes,African_American
no,-0.589895078559158,no,yes,Female,no,Caucasian
yes,1.15971845273277,no,no,Male,yes,African_American
no,-0.453807805802598,no,yes,Male,no,Caucasian
no,-0.258215356416182,no,no,Male,yes,Caucasian
no,-0.425620466854031,yes,no,Male,yes,Caucasian
yes,4.223972382609,no,no,Female,no,African_American
no,0.40127407784992303,no,no,Male,no,African_American
no,0.632369487603292,no,no,Male,yes,Caucasian
no,-0.819605233423566,yes,no,Male,yes,Caucasian
no,-0.623514569676976,no,no,Male,yes,Caucasian
no,0.283222050832034,no,no,Male,no,African_American
yes,2.12572741863437,yes,no,Male,no,Caucasian
no,-0.648051371495564,no,no,Female,yes,African_American
no,0.234184646061308,no,no,Male,no,Caucasian
no,-0.304850501999744,no,no,Male,no,Caucasian
yes,1.22975492467194,yes,no,Male,no,Caucasian
yes,1.03364387537184,no,no,Male,no,African_American
yes,-0.406674881841823,no,no,Female,no,African_American
no,-0.627021227333128,no,no,Male,no,Caucasian
yes,1.12679500599818,yes,no,Male,no,Caucasian
yes,-0.164139850239593,no,yes,Female,no,Caucasian
yes,-0.164380410676333,no,no,Male,no,African_American
yes,0.637808556806926,no,no,Male,no,Caucasian
yes,-0.263060788396462,no,no,Male,no,African_American
no,-0.732563658471444,no,no,Female,yes,Caucasian
no,-0.214672920030181,no,no,Female,no,Caucasian
no,-0.637627103207962,no,no,Female,yes,Caucasian
yes,-0.724409454957334,no,yes,Male,no,Caucasian
yes,0.620154727561731,no,no,Female,no,Caucasian
yes,-0.459926620313113,no,yes,Male,no,African_American
