"Two_yr_Recidivismyes","Number_of_Priors","Age_Above_FourtyFiveyes","Age_Below_TwentyFiveyes","FemaleMale","Misdemeanoryes","ethnicityCaucasian"
1,-0.0125304970988913,0,1,0,1,1
1,-0.400115101329312,0,1,1,1,0
1,0.701856733526477,1,0,1,1,0
0,-0.930922321961949,0,0,1,0,1
1,-0.545323868452363,0,1,1,1,0
1,-0.5937683731941,0,0,1,1,1
1,0.196977291542451,0,0,1,1,1
1,-0.362762246488082,0,1,1,0,0
0,-0.168091069786416,0,0,1,0,1
1,-0.434163240580175,0,0,1,0,0
1,-0.121048762919098,0,0,1,1,1
1,1.79018301125218,0,0,1,1,0
0,-0.468224829303143,1,0,1,0,0
0,-0.627172384203335,1,0,1,1,1
0,0.164697036614054,0,0,1,0,0
1,0.207163381236592,1,0,1,1,0
0,-0.683326710700533,0,0,1,0,1
0,-0.274335915335546,1,0,1,1,0
1,-0.275442214643316,1,0,1,0,1
1,0.0505249545830046,0,0,1,1,0
0,-0.503621463751246,1,0,1,0,1
0,0.44101297011936,0,0,1,1,0
0,-0.228721327096901,0,0,1,1,0
0,-0.589895078559158,0,1,0,0,1
1,1.15971845273277,0,0,1,1,0
0,-0.453807805802598,0,1,1,0,1
0,-0.258215356416182,0,0,1,1,1
0,-0.425620466854031,1,0,1,1,1
1,4.223972382609,0,0,0,0,0
0,0.401274077849923,0,0,1,0,0
0,0.632369487603292,0,0,1,1,1
0,-0.819605233423566,1,0,1,1,1
0,-0.623514569676976,0,0,1,1,1
0,0.283222050832034,0,0,1,0,0
1,2.12572741863437,1,0,1,0,1
0,-0.648051371495564,0,0,0,1,0
0,0.234184646061308,0,0,1,0,1
0,-0.304850501999744,0,0,1,0,1
1,1.22975492467194,1,0,1,0,1
1,1.03364387537184,0,0,1,0,0
1,-0.406674881841823,0,0,0,0,0
0,-0.627021227333128,0,0,1,0,1
1,1.12679500599818,1,0,1,0,1
1,-0.164139850239593,0,1,0,0,1
1,-0.164380410676333,0,0,1,0,0
1,0.637808556806926,0,0,1,0,1
1,-0.263060788396462,0,0,1,0,0
0,-0.732563658471444,0,0,0,1,1
0,-0.214672920030181,0,0,0,0,1
0,-0.637627103207962,0,0,0,1,1
